_prepare,_run,answer,auto_log,background,bidi,break_if,c_target,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_getting_started,count_instructions,count_instructions2,count_logger,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,count_welcome,cycles,description,duration,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,ignore_missing,item,keyboard_backend,log_msg,low_location,mode,mouse_backend,note,order,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions,response_instructions2,response_key,response_time,response_time_feedback,response_time_instructions,response_time_instructions2,response_time_welcome,response_welcome,rt,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,target_correct,target_duration,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_getting_started,time_instructions,time_instructions2,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,time_welcome,title,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","0","0","NA","NA","Logs experimental data","NA","702","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","NA","0","NA","left","NA","space","space","left","4591","NA","2549","4591","NA","NA","822","NA","NA","legacy","experiment","None","8","even","legacy","1","200","south_west","1979","1979","85556","90551","92212","NA","NA","78312","80862","92731","85455","85453","85455","92731","85455","90685","1979","85556","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","NA","0","0","1","0","0","0","1","0","1","0","1","NA","NA","Logs experimental data","NA","493","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","NA","0","NA","right","NA","space","space","right","4591","NA","2549","4591","NA","NA","560","NA","NA","legacy","experiment","None","8","even","legacy","1","200","north_east","1979","1979","92789","93430","94620","NA","NA","78312","80862","95151","85455","85453","85455","95151","85455","93563","1979","92789","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","NA","0","0","2","0","0","0","2","0","2","0","2","NA","NA","Logs experimental data","NA","321","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","NA","0","NA","left","NA","space","space","left","4591","NA","2549","4591","NA","NA","564","NA","NA","legacy","experiment","None","8","even","legacy","1","200","south_west","1979","1979","95187","95574","96596","NA","NA","78312","80862","97115","85455","85453","85455","97115","85455","95707","1979","95187","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","NA","0","0","3","0","0","0","3","0","3","0","3","NA","NA","Logs experimental data","NA","491","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","NA","0","NA","None","NA","space","space","None","4591","NA","2549","4591","NA","NA","1002","NA","NA","legacy","experiment","None","8","even","legacy","0","200","north_west","1979","1979","97151","97624","99249","NA","NA","78312","80862","99779","85455","85453","85455","99779","85455","97752","1979","97151","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","NA","0","0","4","0","0","0","4","0","4","0","4","NA","NA","Logs experimental data","NA","724","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","NA","0","NA","right","NA","space","space","right","4591","NA","2549","4591","NA","NA","506","NA","NA","legacy","experiment","None","8","even","legacy","1","200","north_east","1979","1979","99815","101182","102549","NA","NA","78312","80862","103067","85455","85453","85455","103067","85455","101316","1979","99815","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","NA","0","0","5","0","0","0","5","0","5","0","5","NA","NA","Logs experimental data","NA","738","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","NA","0","NA","right","NA","space","space","right","4591","NA","2549","4591","NA","NA","593","NA","NA","legacy","experiment","None","8","even","legacy","1","200","south_east","1979","1979","103104","103591","105061","NA","NA","78312","80862","105580","85455","85453","85455","105580","85455","103726","1979","103104","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","NA","0","0","6","0","0","0","6","0","6","0","6","NA","NA","Logs experimental data","NA","375","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","NA","0","NA","left","NA","space","space","left","4591","NA","2549","4591","NA","NA","596","NA","NA","legacy","experiment","None","8","even","legacy","1","200","south_east","1979","1979","105616","106182","107285","NA","NA","78312","80862","107804","85455","85453","85455","107804","85455","106312","1979","105615","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","NA","0","0","7","0","0","0","7","0","7","0","7","NA","NA","Logs experimental data","NA","330","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","NA","0","NA","right","NA","space","space","right","4591","NA","2549","4591","NA","NA","506","NA","NA","legacy","experiment","None","8","even","legacy","1","200","south_west","1979","1979","107840","108423","109396","NA","NA","78312","80862","109927","85455","85453","85455","109927","85455","108557","1979","107840","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","NA","0","0","8","0","0","0","8","0","8","0","8","NA","NA","Logs experimental data","NA","360","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","NA","0","NA","right","NA","space","space","right","4591","NA","2549","4591","NA","NA","546","NA","NA","legacy","experiment","None","8","even","legacy","1","200","south_west","1979","1979","109962","111639","112684","NA","NA","78312","80862","113212","85455","85453","85455","113212","85455","111774","1979","109962","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","NA","0","0","9","0","0","0","9","0","9","0","9","NA","NA","Logs experimental data","NA","357","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","NA","0","NA","left","NA","space","space","left","4591","NA","2549","4591","NA","NA","500","NA","NA","legacy","experiment","None","8","even","legacy","1","200","north_east","1979","1979","113247","113845","114836","NA","NA","78312","80862","115366","85455","85453","85455","115366","85455","113976","1979","113247","NA","New experiment","NA","no","yes","1680","NA","NA"
