_prepare,_run,answer,auto_log,background,bidi,break_if,c_target,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_getting_started,count_instructions,count_instructions2,count_logger,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,count_welcome,cycles,description,duration,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,ignore_missing,item,keyboard_backend,log_msg,low_location,mode,mouse_backend,note,order,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions,response_instructions2,response_key,response_time,response_time_feedback,response_time_instructions,response_time_instructions2,response_time_welcome,response_welcome,rt,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,target_correct,target_duration,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_getting_started,time_instructions,time_instructions2,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,time_welcome,title,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","0","0","NA","NA","Logs experimental data","NA","397","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","NA","NA","NA","0","NA","right","NA","left","space","right","7079","NA","22706","7079","NA","NA","556","NA","NA","legacy","experiment","None","1","odd","legacy","0","200","south_east","1965","1965","89316","92968","94060","NA","NA","59456","82164","94590","89245","89243","89245","94590","89245","93101","1965","89316","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","NA","0","0","1","0","0","0","1","0","1","0","1","NA","NA","Logs experimental data","NA","653","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","NA","NA","NA","0","NA","left","NA","left","space","left","7079","NA","22706","7079","NA","NA","467","NA","NA","legacy","experiment","None","1","odd","legacy","1","200","north_west","1965","1965","94641","96060","97322","NA","NA","59456","82164","97854","89245","89243","89245","97854","89245","96199","1965","94640","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","NA","0","0","2","0","0","0","2","0","2","0","2","NA","NA","Logs experimental data","NA","541","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","NA","NA","NA","0","NA","right","NA","left","space","right","7079","NA","22706","7079","NA","NA","579","NA","NA","legacy","experiment","None","1","odd","legacy","1","200","north_west","1965","1965","97890","99048","100306","NA","NA","59456","82164","100835","89245","89243","89245","100835","89245","99182","1965","97889","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","NA","0","0","3","0","0","0","3","0","3","0","3","NA","NA","Logs experimental data","NA","794","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","NA","NA","NA","0","NA","right","NA","left","space","right","7079","NA","22706","7079","NA","NA","502","NA","NA","legacy","experiment","None","1","odd","legacy","1","200","north_west","1965","1965","100873","102008","103443","NA","NA","59456","82164","103965","89245","89243","89245","103965","89245","102143","1965","100873","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","NA","0","0","4","0","0","0","4","0","4","0","4","NA","NA","Logs experimental data","NA","633","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","NA","NA","NA","0","NA","right","NA","left","space","right","7079","NA","22706","7079","NA","NA","437","NA","NA","legacy","experiment","None","1","odd","legacy","1","200","south_west","1965","1965","104001","104804","106011","NA","NA","59456","82164","106542","89245","89243","89245","106542","89245","104937","1965","104001","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","NA","0","0","5","0","0","0","5","0","5","0","5","NA","NA","Logs experimental data","NA","453","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","NA","NA","NA","0","NA","left","NA","left","space","left","7079","NA","22706","7079","NA","NA","554","NA","NA","legacy","experiment","None","1","odd","legacy","1","200","south_east","1965","1965","106578","107348","108491","NA","NA","59456","82164","109022","89245","89243","89245","109022","89245","107481","1965","106578","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","NA","0","0","6","0","0","0","6","0","6","0","6","NA","NA","Logs experimental data","NA","522","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","NA","NA","NA","0","NA","left","NA","left","space","left","7079","NA","22706","7079","NA","NA","399","NA","NA","legacy","experiment","None","1","odd","legacy","1","200","south_west","1965","1965","109058","109720","110779","NA","NA","59456","82164","111311","89245","89243","89245","111311","89245","109854","1965","109057","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","NA","0","0","7","0","0","0","7","0","7","0","7","NA","NA","Logs experimental data","NA","232","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","NA","NA","NA","0","NA","right","NA","left","space","right","7079","NA","22706","7079","NA","NA","469","NA","NA","legacy","experiment","None","1","odd","legacy","1","200","south_west","1965","1965","111347","112092","112930","NA","NA","59456","82164","113461","89245","89243","89245","113461","89245","112225","1965","111347","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","NA","0","0","8","0","0","0","8","0","8","0","8","NA","NA","Logs experimental data","NA","424","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","NA","NA","NA","0","NA","left","NA","left","space","left","7079","NA","22706","7079","NA","NA","504","NA","NA","legacy","experiment","None","1","odd","legacy","1","200","south_east","1965","1965","113497","114024","115098","NA","NA","59456","82164","115628","89245","89243","89245","115628","89245","114166","1965","113496","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","NA","0","0","9","0","0","0","9","0","9","0","9","NA","NA","Logs experimental data","NA","575","NA","no","mono","no","18","NA","white","1050","north_west","yes","NA","legacy","NA","south_east","NA","legacy","NA","NA","NA","0","NA","right","NA","left","space","right","7079","NA","22706","7079","NA","NA","469","NA","NA","legacy","experiment","None","1","odd","legacy","1","200","south_east","1965","1965","115663","116364","117546","NA","NA","59456","82164","118078","89245","89243","89245","118078","89245","116498","1965","115663","NA","New experiment","NA","no","yes","1680","NA","NA"
