_prepare,_run,answer,auto_log,background,bidi,break_if,c_target,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_instructions,count_instructions2,count_logger,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,cycles,description,duration,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,ignore_missing,item,keyboard_backend,log_msg,low_location,mode,mouse_backend,order,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions,response_instructions2,response_key,response_time,response_time_feedback,response_time_instructions,response_time_instructions2,rt,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,subject_nr,subject_parity,synth_backend,target_correct,target_duration,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_instructions,time_instructions2,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,title,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","450","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","None","NA","space","right","None","181957","NA","61380","181957","1001","NA","NA","legacy","experiment","10","even","legacy","0","200","north_east","2051","2053","306936","314490","316080","NA","63498","124880","316608","306839","306837","306839","316608","306839","314623","2053","306936","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","0","0","1","0","0","0","1","0","1","0","1","NA","Logs experimental data","NA","249","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","None","NA","space","right","None","181957","NA","61380","181957","1002","NA","NA","legacy","experiment","10","even","legacy","0","200","south_west","2051","2053","316663","319911","321298","NA","63498","124880","321823","306839","306837","306839","321823","306839","320042","2053","316663","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","0","0","2","0","0","0","2","0","2","0","2","NA","Logs experimental data","NA","726","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","None","NA","space","right","None","181957","NA","61380","181957","1001","NA","NA","legacy","experiment","10","even","legacy","0","200","south_west","2051","2053","321858","325098","326965","NA","63498","124880","327494","306839","306837","306839","327494","306839","325232","2053","321858","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","0","0","3","0","0","0","3","0","3","0","3","NA","Logs experimental data","NA","561","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","None","NA","space","right","None","181957","NA","61380","181957","1002","NA","NA","legacy","experiment","10","even","legacy","0","200","south_west","2051","2053","327529","331673","333374","NA","63498","124880","333904","306839","306837","306839","333904","306839","331807","2053","327529","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","0","0","4","0","0","0","4","0","4","0","4","NA","Logs experimental data","NA","751","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","left","NA","space","right","left","181957","NA","61380","181957","755","NA","NA","legacy","experiment","10","even","legacy","1","200","south_east","2051","2053","333940","335626","337269","NA","63498","124880","337800","306839","306837","306839","337800","306839","335759","2053","333940","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","0","0","5","0","0","0","5","0","5","0","5","NA","Logs experimental data","NA","317","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","left","NA","space","right","left","181957","NA","61380","181957","631","NA","NA","legacy","experiment","10","even","legacy","1","200","south_east","2051","2053","337836","339102","340189","NA","63498","124880","340719","306839","306837","306839","340719","306839","339236","2053","337836","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","0","0","6","0","0","0","6","0","6","0","6","NA","Logs experimental data","NA","635","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","left","NA","space","right","left","181957","NA","61380","181957","647","NA","NA","legacy","experiment","10","even","legacy","1","200","north_west","2051","2053","340755","343386","344804","NA","63498","124880","345335","306839","306837","306839","345335","306839","343518","2053","340755","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","0","0","7","0","0","0","7","0","7","0","7","NA","Logs experimental data","NA","250","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","right","NA","space","right","right","181957","NA","61380","181957","605","NA","NA","legacy","experiment","10","even","legacy","1","200","north_west","2051","2053","345371","346906","347900","NA","63498","124880","348431","306839","306837","306839","348431","306839","347040","2053","345371","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","0","0","8","0","0","0","8","0","8","0","8","NA","Logs experimental data","NA","647","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","right","NA","space","right","right","181957","NA","61380","181957","568","NA","NA","legacy","experiment","10","even","legacy","1","200","south_east","2051","2053","348467","351179","352533","NA","63498","124880","353064","306839","306837","306839","353064","306839","351314","2053","348467","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","0","0","9","0","0","0","9","0","9","0","9","NA","Logs experimental data","NA","551","NA","no","mono","no","18","NA","white","1050","north_east","yes","NA","legacy","NA","south_west","NA","legacy","NA","NA","0","NA","left","NA","space","right","left","181957","NA","61380","181957","541","NA","NA","legacy","experiment","10","even","legacy","1","200","south_west","2051","2053","353101","354839","356069","NA","63498","124880","356591","306839","306837","306839","356591","306839","354971","2053","353101","New experiment","NA","no","yes","1680","NA","NA"
