_prepare,_run,answer,auto_log,background,bidi,break_if,c_target,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_getting_started,count_instructions,count_instructions2,count_logger,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,count_welcome,cycles,description,duration,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,ignore_missing,item,keyboard_backend,log_msg,low_location,mode,mouse_backend,not_fixated,note,order,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions,response_instructions2,response_key,response_time,response_time_feedback,response_time_instructions,response_time_instructions2,response_time_welcome,response_welcome,rt,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,target_correct,target_duration,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_getting_started,time_instructions,time_instructions2,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,time_welcome,title,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","0","0","NA","NA","Logs experimental data","NA","267","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","11814","NA","10987","11814","NA","NA","487","NA","NA","legacy","experiment","None","12","even","legacy","1","200","north_east","1940","1941","68748","70556","71715","NA","NA","45871","56860","72244","68677","68675","68677","72244","68677","70688","1941","68748","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","NA","0","0","1","0","0","0","1","0","1","0","1","NA","NA","Logs experimental data","NA","413","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","11814","NA","10987","11814","NA","NA","405","NA","NA","legacy","experiment","None","12","even","legacy","0","200","north_east","1940","1941","72285","72864","74236","NA","NA","45871","56860","74756","68677","68675","68677","74756","68677","72997","1941","72285","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","NA","0","0","2","0","0","0","2","0","2","0","2","NA","NA","Logs experimental data","NA","636","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","11814","NA","10987","11814","NA","NA","498","NA","NA","legacy","experiment","None","12","even","legacy","1","200","south_west","1940","1941","74794","75748","77659","NA","NA","45871","56860","78195","68677","68675","68677","78195","68677","75881","1941","74794","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","NA","0","0","3","0","0","0","3","0","3","0","3","NA","NA","Logs experimental data","NA","767","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","11814","NA","10987","11814","NA","NA","428","NA","NA","legacy","experiment","None","12","even","legacy","1","200","south_west","1940","1941","78231","78896","80995","NA","NA","45871","56860","81525","68677","68675","68677","81525","68677","79028","1941","78231","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","NA","0","0","4","0","0","0","4","0","4","0","4","NA","NA","Logs experimental data","NA","411","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","11814","NA","10987","11814","NA","NA","497","NA","NA","legacy","experiment","None","12","even","legacy","1","200","north_west","1940","1941","81560","82112","83571","NA","NA","45871","56860","84101","68677","68675","68677","84101","68677","82245","1941","81560","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","NA","0","0","5","0","0","0","5","0","5","0","5","NA","NA","Logs experimental data","NA","565","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","11814","NA","10987","11814","NA","NA","431","NA","NA","legacy","experiment","None","12","even","legacy","1","200","north_west","1940","1941","84137","84596","86299","NA","NA","45871","56860","86830","68677","68675","68677","86830","68677","84730","1941","84137","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","NA","0","0","6","0","0","0","6","0","6","0","6","NA","NA","Logs experimental data","NA","741","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","11814","NA","10987","11814","NA","NA","798","NA","NA","legacy","experiment","None","12","even","legacy","1","200","north_east","1940","1941","86865","87908","90330","NA","NA","45871","56860","90852","68677","68675","68677","90852","68677","88043","1941","86865","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","NA","0","0","7","0","0","0","7","0","7","0","7","NA","NA","Logs experimental data","NA","799","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","11814","NA","10987","11814","NA","NA","669","NA","NA","legacy","experiment","None","12","even","legacy","1","200","south_east","1940","1941","90888","91424","93834","NA","NA","45871","56860","94363","68677","68675","68677","94363","68677","91559","1941","90888","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","NA","0","0","8","0","0","0","8","0","8","0","8","NA","NA","Logs experimental data","NA","728","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","11814","NA","10987","11814","NA","NA","507","NA","NA","legacy","experiment","None","12","even","legacy","1","200","north_west","1940","1941","94399","94909","97011","NA","NA","45871","56860","97541","68677","68675","68677","97541","68677","95041","1941","94399","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","NA","0","0","9","0","0","0","9","0","9","0","9","NA","NA","Logs experimental data","NA","360","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","11814","NA","10987","11814","NA","NA","555","NA","NA","legacy","experiment","None","12","even","legacy","1","200","south_west","1940","1941","97577","98029","99443","NA","NA","45871","56860","99987","68677","68675","68677","99987","68677","98161","1941","97576","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","10","10","10","NA","NA","0","0","10","0","0","0","10","0","10","0","10","NA","NA","Logs experimental data","NA","616","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","11814","NA","10987","11814","NA","NA","411","NA","NA","legacy","experiment","None","12","even","legacy","1","200","south_west","1940","1941","100024","100609","102395","NA","NA","45871","56860","102917","68677","68675","68677","102917","68677","100744","1941","100024","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","11","11","11","NA","NA","0","0","11","0","0","0","11","0","11","0","11","NA","NA","Logs experimental data","NA","358","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","left","NA","space","space","left","11814","NA","10987","11814","NA","NA","414","NA","NA","legacy","experiment","None","12","even","legacy","1","200","north_west","1940","1941","102953","103440","104714","NA","NA","45871","56860","105236","68677","68675","68677","105236","68677","103576","1941","102952","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","12","12","12","NA","NA","0","0","12","0","0","0","12","0","12","0","12","NA","NA","Logs experimental data","NA","485","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","11814","NA","10987","11814","NA","NA","515","NA","NA","legacy","experiment","None","12","even","legacy","1","200","south_east","1940","1941","105273","106240","107866","NA","NA","45871","56860","108389","68677","68675","68677","108389","68677","106374","1941","105273","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","13","13","13","NA","NA","0","0","13","0","0","0","13","0","13","0","13","NA","NA","Logs experimental data","NA","329","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","11814","NA","10987","11814","NA","NA","544","NA","NA","legacy","experiment","None","12","even","legacy","1","200","north_east","1940","1941","108425","109084","110426","NA","NA","45871","56860","110958","68677","68675","68677","110958","68677","109217","1941","108425","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","14","14","14","NA","NA","0","0","14","0","0","0","14","0","14","0","14","NA","NA","Logs experimental data","NA","457","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","north_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","space","space","right","11814","NA","10987","11814","NA","NA","492","NA","NA","legacy","experiment","None","12","even","legacy","1","200","south_west","1940","1941","110993","111584","113131","NA","NA","45871","56860","113662","68677","68675","68677","113662","68677","111718","1941","110993","NA","New experiment","NA","no","yes","1680","NA","NA"
