_prepare,_run,answer,auto_log,background,bidi,break_if,c_target,cal_beep,cal_target_size,canvas_backend,column_order,compensation,coordinates,count_experiment,count_eyelink_calibrate,count_eyelink_drift_correct,count_eyelink_start_recording,count_eyelink_stop_recording,count_feedback,count_getting_started,count_instructions,count_instructions2,count_logger,count_practice_block,count_practice_loop,count_practice_sequence,count_record_times,count_reset_feedback,count_script,count_setup,count_trial_sequence,count_welcome,cycles,description,duration,fix_to_stim,flush_keyboard,font_bold,font_family,font_italic,font_size,force_drift_correct,foreground,height,high_location,ignore_missing,item,keyboard_backend,log_msg,low_location,mode,mouse_backend,not_fixated,note,order,repeat,repeat_cycle,reset_variables,response,response_feedback,response_instructions,response_instructions2,response_key,response_time,response_time_feedback,response_time_instructions,response_time_instructions2,response_time_welcome,response_welcome,rt,sacc_acc_thresh,sacc_vel_thresh,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,target_correct,target_duration,target_position,time_experiment,time_eyelink_calibrate,time_eyelink_drift_correct,time_eyelink_start_recording,time_eyelink_stop_recording,time_feedback,time_getting_started,time_instructions,time_instructions2,time_logger,time_practice_block,time_practice_loop,time_practice_sequence,time_record_times,time_reset_feedback,time_script,time_setup,time_trial_sequence,time_welcome,title,tracker_attached,transparent_variables,use_quotes,width,xpos,ypos
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","0","0","0","NA","NA","0","0","0","0","0","0","0","0","0","0","0","NA","NA","Logs experimental data","NA","235","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","0","NA","NA","NA","0","NA","left","NA","f","space","left","22550","NA","7271","22550","NA","NA","720","NA","NA","legacy","experiment","None","16","even","legacy","1","200","north_east","1966","1966","89712","99186","100511","NA","NA","59816","67088","101033","89641","89639","89641","101033","89641","99315","1966","89712","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","1","1","1","NA","NA","0","0","1","0","0","0","1","0","1","0","1","NA","NA","Logs experimental data","NA","397","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","0","NA","NA","NA","0","NA","None","NA","f","space","None","22550","NA","7271","22550","NA","NA","1002","NA","NA","legacy","experiment","None","16","even","legacy","0","200","north_west","1966","1966","101075","101806","103743","NA","NA","59816","67088","104263","89641","89639","89641","104263","89641","101940","1966","101074","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","2","2","2","NA","NA","0","0","2","0","0","0","2","0","2","0","2","NA","NA","Logs experimental data","NA","642","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","f","space","right","22550","NA","7271","22550","NA","NA","593","NA","NA","legacy","experiment","None","16","even","legacy","1","200","north_west","1966","1966","104300","108980","110998","NA","NA","59816","67088","111529","89641","89639","89641","111529","89641","109115","1966","104300","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","3","3","3","NA","NA","0","0","3","0","0","0","3","0","3","0","3","NA","NA","Logs experimental data","NA","568","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","0","NA","NA","NA","0","NA","left","NA","f","space","left","22550","NA","7271","22550","NA","NA","623","NA","NA","legacy","experiment","None","16","even","legacy","1","200","north_east","1966","1966","111565","112003","113902","NA","NA","59816","67088","114432","89641","89639","89641","114432","89641","112136","1966","111565","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","4","4","4","NA","NA","0","0","4","0","0","0","4","0","4","0","4","NA","NA","Logs experimental data","NA","700","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","0","NA","NA","NA","0","NA","left","NA","f","space","left","22550","NA","7271","22550","NA","NA","608","NA","NA","legacy","experiment","None","16","even","legacy","1","200","south_west","1966","1966","114469","114802","116951","NA","NA","59816","67088","117481","89641","89639","89641","117481","89641","114936","1966","114469","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","5","5","5","NA","NA","0","0","5","0","0","0","5","0","5","0","5","NA","NA","Logs experimental data","NA","681","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","f","space","right","22550","NA","7271","22550","NA","NA","557","NA","NA","legacy","experiment","None","16","even","legacy","1","200","north_east","1966","1966","117517","117876","119935","NA","NA","59816","67088","120466","89641","89639","89641","120466","89641","118010","1966","117517","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","6","6","6","NA","NA","0","0","6","0","0","0","6","0","6","0","6","NA","NA","Logs experimental data","NA","247","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","f","space","right","22550","NA","7271","22550","NA","NA","538","NA","NA","legacy","experiment","None","16","even","legacy","1","200","south_east","1966","1966","120503","120836","122007","NA","NA","59816","67088","122537","89641","89639","89641","122537","89641","120970","1966","120503","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","7","7","7","NA","NA","0","0","7","0","0","0","7","0","7","0","7","NA","NA","Logs experimental data","NA","543","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","f","space","right","22550","NA","7271","22550","NA","NA","637","NA","NA","legacy","experiment","None","16","even","legacy","1","200","north_east","1966","1966","122573","122900","124758","NA","NA","59816","67088","125289","89641","89639","89641","125289","89641","123029","1966","122573","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","left","yes","#646464","no","NA","left","NA","NA","legacy","NA","0","relative","0","0","8","8","8","NA","NA","0","0","8","0","0","0","8","0","8","0","8","NA","NA","Logs experimental data","NA","717","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","0","NA","NA","NA","0","NA","left","NA","f","space","left","22550","NA","7271","22550","NA","NA","517","NA","NA","legacy","experiment","None","16","even","legacy","1","200","south_east","1966","1966","125325","125651","127742","NA","NA","59816","67088","128274","89641","89639","89641","128274","89641","125785","1966","125325","NA","New experiment","NA","no","yes","1680","NA","NA"
"NA","NA","right","yes","#646464","no","NA","right","NA","NA","legacy","NA","0","relative","0","0","9","9","9","NA","NA","0","0","9","0","0","0","9","0","9","0","9","NA","NA","Logs experimental data","NA","479","NA","no","mono","no","18","NA","white","1050","south_east","yes","NA","legacy","NA","south_west","NA","legacy","0","NA","NA","NA","0","NA","right","NA","f","space","right","22550","NA","7271","22550","NA","NA","653","NA","NA","legacy","experiment","None","16","even","legacy","1","200","south_west","1966","1966","128310","128638","130390","NA","NA","59816","67088","130920","89641","89639","89641","130920","89641","128771","1966","128310","NA","New experiment","NA","no","yes","1680","NA","NA"
